order_id,order_date,city,category,fragile,weight_kg,length_cm,width_cm,height_cm,material,freight_cost,value,damaged,volume,unit_freight,month
101357,2026-08-18,成都,clothing,1,0.77,51.6,25.0,31.5,cardboard,8.9,29.0,0.0,40635.0,11.558441558441558,2026-08
100985,2026-01-26,成都,electronics,0,4.1,33.9,31.2,30.4,cardboard,15.39,117.0,0.0,32153.471999999994,3.7536585365853665,2026-01
100860,2026-08-28,成都,electronics,1,3.52,18.7,22.8,39.1,wood,19.04,99.0,0.0,16670.676,5.409090909090909,2026-08
101985,2026-05-02,武汉,electronics,0,2.37,54.1,22.5,12.3,bubble,10.03,130.0,0.0,14972.175000000001,4.232067510548522,2026-05
101294,2026-03-09,杭州,electronics,1,3.69,57.8,10.1,21.0,cardboard,12.58,112.0,0.0,12259.38,3.4092140921409215,2026-03
101470,2026-04-23,上海,electronics,0,0.74,36.6,30.1,24.7,bubble,7.49,97.0,0.0,27211.002,10.121621621621623,2026-04
101211,2026-06-02,武汉,electronics,0,4.4,20.2,13.4,7.2,wood,19.99,130.0,0.0,1948.8960000000002,4.543181818181817,2026-06
100368,2026-02-13,成都,clothing,0,0.38,26.7,18.5,14.3,bubble,6.95,41.0,0.0,7063.485000000001,18.289473684210527,2026-02
101704,2026-05-21,杭州,glass,1,3.01,45.7,40.5,21.6,cardboard,14.58,169.0,0.0,39978.36000000001,4.843853820598007,2026-05
101384,2026-07-30,上海,books,0,2.71,28.2,30.4,9.2,bubble,9.68,52.0,0.0,7886.975999999999,3.5719557195571956,2026-07
101788,2026-05-19,北京,electronics,0,2.5,46.6,27.6,32.0,bubble,11.28,80.0,0.0,41157.12,4.512,2026-05
100252,2026-05-27,广州,books,0,1.5,59.6,15.7,33.0,bubble,8.89,50.0,0.0,30878.760000000002,5.926666666666667,2026-05
100472,2026-02-20,杭州,ceramics,1,3.05,45.4,40.8,39.1,wood,20.22,125.0,0.0,72425.71199999998,6.629508196721312,2026-02
100383,2026-01-21,成都,electronics,0,0.78,46.5,22.5,20.7,cardboard,10.31,91.0,0.0,21657.375,13.217948717948719,2026-01
100782,2026-01-21,西安,electronics,0,3.78,20.2,32.2,25.0,wood,19.55,123.0,0.0,16261.000000000002,5.1719576719576725,2026-01
100619,2026-03-19,深圳,glass,1,1.24,43.5,16.7,9.3,wood,15.14,204.0,0.0,6755.985,12.20967741935484,2026-03
101092,2026-07-18,武汉,ceramics,1,4.15,38.0,16.8,26.9,wood,19.64,99.0,0.0,17172.96,4.732530120481927,2026-07
101403,2026-02-24,北京,electronics,0,1.44,30.6,22.5,21.4,bubble,7.48,126.0,0.0,14733.9,5.194444444444445,2026-02
101138,2026-01-07,北京,glass,1,2.78,28.1,29.0,34.9,bubble,10.1,169.0,0.0,28440.010000000002,3.633093525179856,2026-01
