order_id,order_date,city,category,fragile,weight_kg,length_cm,width_cm,height_cm,material,freight_cost,value,damaged
101357,2026-08-18,成都市,clothing,1,0.77,51.6,25.0,31.5,cardboard,8.9,29.0,0.0
100985,2026-01-26,成都,electronics,0,4.1,33.9,31.2,30.4,cardboard,15.39,117.0,0.0
100860,2026-08-28,成都,electronics,1,3.52,18.7,22.8,39.1,wood,19.04,99.0,0.0
101985,2026-05-02,武汉,electronics,0,2.37,54.1,22.5,12.3,bubble,10.03,130.0,0.0
101294,2026-03-09,杭州,electronics,1,3.69,57.8,10.1,21.0,cardboard,12.58,112.0,0.0
101470,2026-04-23,上海,electronics,0,0.74,36.6,30.1,24.7,bubble,7.49,97.0,0.0
101211,2026-06-02,武汉,electronics,0,4.4,20.2,13.4,7.2,wood,19.99,130.0,0.0
100368,2026-02-13,成都,clothing,0,0.38,26.7,18.5,14.3,bubble,6.95,41.0,0.0
101704,2026-05-21,杭州,glass,1,3.01,45.7,40.5,21.6,cardboard,14.58,169.0,0.0
101384,2026-07-30,上海,books,0,2.71,28.2,30.4,9.2,bubble,9.68,52.0,0.0
101788,2026-05-19,北京,electronics,0,2.5,46.6,27.6,32.0,bubble,11.28,80.0,0.0
100252,2026-05-27,广州,books,0,1.5,59.6,15.7,33.0,bubble,8.89,50.0,0.0
100472,2026-02-20,杭州,ceramics,1,3.05,45.4,40.8,39.1,wood,20.22,125.0,0.0
100383,2026-01-21,成都,electronics,0,0.78,46.5,22.5,20.7,cardboard,10.31,91.0,0.0
100782,2026-01-21,西安,electronics,0,3.78,20.2,32.2,25.0,wood,19.55,123.0,0.0
100619,2026-03-19,深圳,glass,1,1.24,43.5,16.7,9.3,wood,15.14,204.0,0.0
101092,2026-07-18,武汉,ceramics,1,4.15,38.0,16.8,26.9,wood,19.64,99.0,0.0
101403,2026-02-24,北京,electronics,0,1.44,30.6,22.5,21.4,bubble,7.48,126.0,0.0
101138,2026-01-07,北京,glass,1,2.78,28.1,29.0,34.9,bubble,10.1,169.0,0.0
101602,2026-05-16,北京,ceramics,1,4.08,38.1,21.6,20.1,wood,19.66,123.0,0.0
100584,2026-07-31,广州,glass,1,2.76,34.9,13.8,37.1,wood,20.41,165.0,0.0
100926,2026-01-26,杭州,books,0,,,32.8,31.9,bubble,8.26,48.0,0.0
100066,2026-05-20,北京,electronics,0,3.44,34.5,11.3,38.6,cardboard,12.43,94.0,0.0
100924,2026-03-10,北京,electronics,0,1.49,48.0,19.4,28.1,cardboard,8.56,92.0,0.0
100322,2026-06-08,深圳,clothing,0,0.5,28.7,41.1,24.0,cardboard,9.32,29.0,0.0
100306,2026-04-01,深圳,ceramics,1,1.98,41.8,21.0,16.6,cardboard,9.87,88.0,0.0
101542,2026-06-19,成都,electronics,0,0.77,19.9,26.3,24.9,bubble,7.89,99.0,0.0
101772,2026-03-28,北京,glass,1,4.38,,15.4,39.3,wood,20.39,206.0,0.0
101402,2026-02-02,西安,clothing,0,0.55,38.2,26.8,37.3,cardboard,9.93,35.0,0.0
100433,2026-05-14,成都,books,0,1.65,37.8,25.3,14.5,bubble,8.1,37.0,0.0
100695,2026-02-10,西安,electronics,1,2.88,49.3,37.8,32.2,wood,19.98,105.0,0.0
101665,2026-06-15,广州,glass,1,2.08,36.9,22.8,31.1,cardboard,10.5,186.0,0.0
100112,2026-08-05,北京,clothing,0,0.81,17.7,17.5,25.5,bubble,5.46,27.0,0.0
101023,2026-08-07,广州,electronics,0,3.03,23.3,21.2,16.2,wood,18.23,83.0,0.0
100030,2026-01-18,广州,books,0,2.77,39.1,39.7,27.8,cardboard,14.42,47.0,0.0
101883,2026-08-26,上海,clothing,0,0.55,34.9,37.1,15.7,bubble,8.23,27.0,0.0
100384,2026-08-04,上海,electronics,0,4.89,15.6,21.7,10.3,cardboard,14.78,116.0,0.0
101473,2026-05-23,深圳,clothing,0,0.76,55.3,18.5,36.9,bubble,7.87,27.0,0.0
101874,2026-07-24,武汉,electronics,1,3.62,22.0,28.5,34.6,wood,17.58,112.0,0.0
100307,2026-01-09,广州,clothing,0,0.25,37.8,24.9,5.4,cardboard,8.2,41.0,0.0
100057,2026-02-23,杭州,electronics,0,0.68,59.3,,39.2,bubble,9.66,85.0,0.0
100772,2026-05-06,武汉,electronics,0,0.58,41.9,33.8,14.8,cardboard,9.29,136.0,0.0
100778,2026-06-15,北京,clothing,0,0.79,43.3,43.0,33.1,bubble,9.64,33.0,0.0
101694,2026-07-03,广州,clothing,0,0.99,31.1,28.4,25.2,cardboard,11.7,35.0,0.0
101272,2026-05-31,广州,books,0,2.89,35.2,37.6,38.4,bubble,12.62,41.0,0.0
101577,2026-01-26,武汉,electronics,0,3.21,34.9,36.2,22.4,cardboard,12.66,135.0,0.0
100421,2026-06-21,成都,electronics,0,3.3,23.8,19.3,14.6,cardboard,13.65,96.0,0.0
100820,2026-08-01,广州,electronics,0,0.86,32.9,41.1,21.2,bubble,6.67,113.0,0.0
101511,2026-06-18,武汉,glass,1,2.88,31.1,34.7,15.1,cardboard,14.69,146.0,0.0
101183,2026-07-23,北京,electronics,1,2.07,20.4,14.5,5.2,wood,14.81,117.0,0.0
100495,2026-08-06,上海,clothing,0,1.45,30.8,28.8,20.6,bubble,8.26,,0.0
100325,2026-06-27,成都,clothing,0,0.6,28.8,25.6,16.3,cardboard,8.8,28.0,0.0
101437,2026-02-05,西安,clothing,0,1.13,30.2,42.7,26.1,bubble,8.74,26.0,0.0
101134,2026-08-26,SHANGHAI,clothing,1,0.48,36.9,38.7,27.5,wood,16.02,31.0,0.0
100679,2026-01-15,武汉,ceramics,1,2.58,55.9,27.6,37.1,wood,18.37,97.0,
100904,2026-01-28,西安,glass,1,3.66,21.0,25.6,16.7,cardboard,15.64,132.0,0.0
101367,2026-07-24,武汉,clothing,0,1.26,28.2,44.2,24.1,cardboard,11.52,35.0,0.0
101152,2026-02-25,成都,clothing,0,0.59,28.6,30.1,37.7,bubble,8.17,38.0,0.0
101556,2026-02-04,武汉,ceramics,1,1.5,54.3,11.7,,wood,14.26,136.0,0.0
100352,2026-06-05,深圳,glass,1,3.17,36.0,23.0,12.1,cardboard,13.92,209.0,0.0
101519,2026-08-01,武汉,clothing,0,999.0,37.3,23.7,38.0,bubble,6.94,39.0,0.0
101464,2026-06-03,深圳,ceramics,1,3.73,32.6,,5.9,wood,17.65,91.0,0.0
100819,2026-01-08,武汉,glass,1,3.79,59.7,41.8,22.0,wood,22.57,188.0,0.0
100615,2026-02-19,广州,clothing,0,0.71,35.9,44.2,23.1,bubble,7.91,33.0,0.0
100071,2026-05-16,深圳,ceramics,1,3.94,42.9,15.7,32.1,cardboard,13.49,135.0,0.0
100451,2026-05-22,北京,glass,1,3.8,36.9,18.5,13.2,wood,18.49,,0.0
101308,2026-08-31,杭州市,clothing,0,0.61,46.4,22.2,5.0,bubble,7.42,25.0,0.0
101579,2026-04-27,北京,books,0,1.77,16.3,30.3,36.6,bubble,8.71,51.0,0.0
101950,2026-06-07,广州,books,0,0.95,48.6,14.5,40.0,cardboard,11.33,50.0,0.0
101186,2026-08-05,上海,books,0,1.9,15.1,37.3,34.0,bubble,8.65,47.0,0.0
100870,2026-08-31,上海,electronics,1,3.71,52.1,38.3,34.9,wood,22.16,126.0,0.0
100354,2026-01-10,深圳,clothing,0,1.41,44.8,28.1,23.3,cardboard,11.71,29.0,0.0
101469,2026-04-20,上海,books,0,2.79,17.1,11.0,9.8,bubble,10.59,54.0,0.0
100975,2026-03-19,武汉,glass,1,3.83,50.5,11.0,33.6,cardboard,13.74,164.0,0.0
101340,2026-08-22,深圳,clothing,0,0.24,39.1,29.6,12.9,bubble,7.33,25.0,0.0
101551,2026-04-18,西安,glass,1,2.58,31.9,27.1,15.0,cardboard,12.11,128.0,0.0
100125,2026-08-03,成都,electronics,1,2.05,33.2,38.3,39.1,cardboard,13.23,,0.0
100211,2026-03-13,广州,glass,1,2.01,37.3,42.2,6.1,cardboard,9.61,127.0,0.0
100949,2026-06-21,成都,clothing,0,1.23,50.1,28.4,11.1,bubble,7.28,41.0,0.0
101079,2026-03-24,杭州,ceramics,1,4.31,59.0,13.8,32.9,wood,20.34,89.0,0.0
101647,2026-08-21,武汉,books,0,1.6,37.3,43.5,7.9,bubble,7.49,51.0,0.0
101494,2026-05-30,广州,electronics,0,3.72,54.9,21.8,13.9,cardboard,14.3,83.0,0.0
101112,2026-07-06,成都,ceramics,1,3.38,18.8,14.4,31.6,wood,18.07,134.0,0.0
100585,2026-01-03,成都,clothing,0,0.95,52.7,38.4,12.9,bubble,8.11,32.0,0.0
101334,2026-01-28,成都,electronics,1,3.77,46.5,16.3,34.1,cardboard,13.22,138.0,0.0
100353,2026-05-21,西安,electronics,1,4.79,47.3,42.0,,wood,21.17,82.0,0.0
101042,2026-07-07,杭州,electronics,0,1.19,53.1,31.8,26.8,bubble,10.94,96.0,0.0
101755,2026-05-21,上海,electronics,1,4.61,59.8,35.5,27.6,wood,21.45,127.0,0.0
101567,2026-02-25,广州,glass,1,2.24,29.3,14.2,25.2,cardboard,12.69,120.0,0.0
100520,2026-05-25,西安,electronics,0,0.81,54.7,32.8,16.3,bubble,8.15,96.0,0.0
100070,2026-01-22,杭州,electronics,1,0.71,15.4,16.6,6.1,bubble,4.59,94.0,0.0
100523,2026-07-19,深圳,electronics,1,3.24,25.8,11.9,7.8,wood,17.71,135.0,0.0
101631,2026-02-10,杭州,books,0,1.37,49.0,42.0,24.3,bubble,10.04,51.0,0.0
101081,2026-03-27,西安,electronics,0,3.72,33.2,31.2,36.3,cardboard,15.99,96.0,0.0
101561,2026-03-06,北京,ceramics,1,1.78,54.0,29.9,13.6,wood,16.15,133.0,0.0
101014,2026-07-13,深圳,electronics,0,4.48,18.2,34.8,33.2,cardboard,16.35,110.0,0.0
101834,2026-05-22,杭州,ceramics,1,3.41,39.2,35.3,15.5,wood,18.28,131.0,0.0
100212,2026-01-24,成都,books,0,,37.4,30.3,18.2,bubble,8.51,42.0,0.0
101011,2026-01-22,北京,books,0,2.41,55.8,26.8,11.0,bubble,11.23,49.0,0.0
101568,2026-08-18,广州,clothing,1,1.17,34.7,32.8,9.4,cardboard,8.67,30.0,0.0
100100,2026-02-02,武汉,electronics,0,3.14,51.7,40.1,10.9,cardboard,13.09,127.0,0.0
101311,2026-02-25,杭州,glass,1,3.77,20.6,15.9,26.5,cardboard,11.72,181.0,0.0
100731,2026-04-06,广州,books,0,1.78,48.8,41.8,29.6,bubble,9.77,45.0,0.0
100530,2026-08-17,广州,electronics,0,2.0,19.3,40.6,22.9,bubble,10.24,102.0,0.0
100299,2026-06-27,杭州,electronics,1,0.92,43.3,24.7,8.2,cardboard,9.93,123.0,0.0
101019,2026-03-18,西安,ceramics,1,1.08,26.2,20.3,30.1,wood,13.87,83.0,0.0
101331,2026-08-16,北京,glass,1,1.86,50.6,27.9,5.5,cardboard,11.98,194.0,
100713,2026-01-12,成都市,clothing,0,0.91,36.8,19.1,32.7,bubble,8.53,39.0,0.0
101330,2026-08-31,广州,clothing,0,1.36,19.9,25.3,26.4,bubble,6.07,41.0,0.0
100651,2026-02-03,北京,glass,1,3.82,16.0,27.6,24.1,wood,19.73,152.0,0.0
100240,2026-03-11,武汉,ceramics,1,2.73,24.4,38.8,11.9,wood,17.9,114.0,0.0
101962,2026-04-23,深圳,glass,1,4.16,36.2,26.8,6.5,cardboard,14.57,136.0,0.0
101722,2026-04-19,北京,clothing,0,0.44,49.1,29.2,23.5,bubble,8.3,26.0,0.0
101847,2026-02-07,西安,electronics,1,3.14,50.7,41.2,13.6,wood,19.49,116.0,0.0
101877,2026-08-09,成都,books,0,1.15,15.7,44.8,5.4,bubble,7.36,53.0,
100395,2026-06-26,杭州,ceramics,1,3.8,40.6,18.2,30.6,wood,18.46,132.0,0.0
101354,2026-08-04,武汉市,glass,1,3.38,25.0,37.2,13.7,wood,17.3,162.0,0.0
